2019-05-15 16:35:19
sign_sgd_majority_one-point_log-reg_fix-step_3_10,0_1
it: 108, loss: 0.8314091610785945, stepsize: 0.0636268544113595
it: 109, loss: 0.8707102016175513, stepsize: 0.057264168970223545
it: 110, loss: 0.6555583733003782, stepsize: 0.057264168970223545
it: 111, loss: 0.8560475886803657, stepsize: 0.051537752073201194
it: 112, loss: 0.6549048218786472, stepsize: 0.051537752073201194
it: 113, loss: 0.805806630277634, stepsize: 0.04638397686588108
it: 114, loss: 0.6614236642388479, stepsize: 0.04638397686588108
it: 115, loss: 0.8612879260062285, stepsize: 0.041745579179292974
it: 116, loss: 0.6674764854096802, stepsize: 0.041745579179292974
it: 117, loss: 0.8074676726481188, stepsize: 0.03757102126136368
it: 118, loss: 0.6736798858717282, stepsize: 0.03757102126136368
it: 119, loss: 0.7485649343138753, stepsize: 0.033813919135227306
it: 120, loss: 0.7386289799305711, stepsize: 0.033813919135227306
it: 121, loss: 0.8454657336553006, stepsize: 0.03043252722170458
it: 122, loss: 0.7078117992446938, stepsize: 0.03043252722170458
it: 123, loss: 0.721322327957382, stepsize: 0.02738927449953412
it: 124, loss: 0.656373025734341, stepsize: 0.02738927449953412
it: 125, loss: 0.7234124669983978, stepsize: 0.02465034704958071
it: 126, loss: 0.6975191432667784, stepsize: 0.02465034704958071
it: 127, loss: 0.7362465109580117, stepsize: 0.02218531234462264
it: 128, loss: 0.678639343762917, stepsize: 0.02218531234462264
it: 129, loss: 0.7248514209136852, stepsize: 0.019966781110160377
it: 130, loss: 0.7161531903504037, stepsize: 0.019966781110160377
it: 131, loss: 0.7641180623719099, stepsize: 0.01797010299914434
it: 132, loss: 0.7103735398666783, stepsize: 0.01797010299914434
it: 133, loss: 0.7611252022754185, stepsize: 0.016173092699229907
it: 134, loss: 0.7043060728900818, stepsize: 0.016173092699229907
it: 135, loss: 0.7379308124077595, stepsize: 0.014555783429306916
it: 136, loss: 0.7365429753144533, stepsize: 0.014555783429306916
it: 137, loss: 0.7558969011670367, stepsize: 0.013100205086376222
it: 138, loss: 0.771515014282048, stepsize: 0.011790184577738602
it: 139, loss: 0.7909029208597929, stepsize: 0.010611166119964741
it: 140, loss: 0.7966842613149029, stepsize: 0.009550049507968268
it: 141, loss: 0.8206700167442665, stepsize: 0.00859504455717144
it: 142, loss: 0.7783429832900565, stepsize: 0.00859504455717144
it: 143, loss: 0.798304044496102, stepsize: 0.007735540101454297
it: 144, loss: 0.7730507815341059, stepsize: 0.007735540101454297
it: 145, loss: 0.7877304448325095, stepsize: 0.0069619860913088675
it: 146, loss: 0.7629525042588211, stepsize: 0.0069619860913088675
it: 147, loss: 0.7518326412241163, stepsize: 0.0069619860913088675
it: 148, loss: 0.7337584508957486, stepsize: 0.0069619860913088675
it: 149, loss: 0.7262957184625732, stepsize: 0.0069619860913088675
it: 150, loss: 0.7413871729443401, stepsize: 0.006265787482177981
it: 151, loss: 0.7542359901894484, stepsize: 0.005639208733960184
it: 152, loss: 0.760963795322245, stepsize: 0.005075287860564165
it: 153, loss: 0.7658519323241617, stepsize: 0.004567759074507748
it: 154, loss: 0.7560319923795094, stepsize: 0.004567759074507748
it: 155, loss: 0.7481999253567191, stepsize: 0.004567759074507748
it: 156, loss: 0.732587370569748, stepsize: 0.004567759074507748
it: 157, loss: 0.7460035236297922, stepsize: 0.0041109831670569745
it: 158, loss: 0.7513176417383659, stepsize: 0.0036998848503512764
it: 159, loss: 0.7616619069217138, stepsize: 0.003329896365316149
it: 160, loss: 0.7532135061089966, stepsize: 0.003329896365316149
it: 161, loss: 0.7473792154051859, stepsize: 0.003329896365316149
it: 162, loss: 0.7393324851127743, stepsize: 0.003329896365316149
it: 163, loss: 0.7464146761968492, stepsize: 0.002996906728784534
it: 164, loss: 0.7489676767451638, stepsize: 0.002697216055906081
it: 165, loss: 0.7429082560163289, stepsize: 0.002697216055906081
it: 166, loss: 0.735248256672073, stepsize: 0.002697216055906081
it: 167, loss: 0.7421553438532267, stepsize: 0.002427494450315473
it: 168, loss: 0.7353275871528293, stepsize: 0.002427494450315473
it: 169, loss: 0.7421053777811396, stepsize: 0.0021847450052839253
it: 170, loss: 0.7382532222649032, stepsize: 0.0021847450052839253
it: 171, loss: 0.7366509147297586, stepsize: 0.0021847450052839253
it: 172, loss: 0.7309843699071493, stepsize: 0.0021847450052839253
it: 173, loss: 0.7311329301803093, stepsize: 0.0019662705047555334
it: 174, loss: 0.7336864473897659, stepsize: 0.0017696434542799797
it: 175, loss: 0.7320380985828749, stepsize: 0.0017696434542799797
it: 176, loss: 0.7342427751597719, stepsize: 0.0015926791088519817
it: 177, loss: 0.7365706102102615, stepsize: 0.0014334111979667837
it: 178, loss: 0.7379692125246471, stepsize: 0.0012900700781701053
it: 179, loss: 0.7345343230253255, stepsize: 0.0012900700781701053
it: 180, loss: 0.730573728049173, stepsize: 0.0012900700781701053
it: 181, loss: 0.7297078096107775, stepsize: 0.0012900700781701053
it: 182, loss: 0.728679548871689, stepsize: 0.0012900700781701053
it: 183, loss: 0.7313598175228124, stepsize: 0.0011610630703530948
it: 184, loss: 0.7295877777432567, stepsize: 0.0011610630703530948
it: 185, loss: 0.7320992562922372, stepsize: 0.0010449567633177854
it: 186, loss: 0.7292605943746909, stepsize: 0.0010449567633177854
it: 187, loss: 0.7270899894432761, stepsize: 0.0010449567633177854
it: 188, loss: 0.7294026324600478, stepsize: 0.0009404610869860068
it: 189, loss: 0.730847823640871, stepsize: 0.0008464149782874062
it: 190, loss: 0.7297505392744021, stepsize: 0.0008464149782874062
it: 191, loss: 0.7315688507572994, stepsize: 0.0007617734804586657
it: 192, loss: 0.7325584743042575, stepsize: 0.0006855961324127991
it: 193, loss: 0.7315005444756294, stepsize: 0.0006855961324127991
it: 194, loss: 0.7297549650522124, stepsize: 0.0006855961324127991
it: 195, loss: 0.7315584762507754, stepsize: 0.0006170365191715192
it: 196, loss: 0.7322645454522498, stepsize: 0.0005553328672543672
it: 197, loss: 0.7330392630196848, stepsize: 0.0004997995805289306
it: 198, loss: 0.7337625078034432, stepsize: 0.00044981962247603747
it: 199, loss: 0.734743854275882, stepsize: 0.00040483766022843373
Master: sending signal to all workers to stop.
